date,topic,result,impact,doi_or_id
2026-04-21,Proximal discontinuous Galerkin variational inequalities,"Unified SIPDG, enriched, hybridizable, and HHO proximal methods; primal and dual error estimates; first higher-order proximal Galerkin result.",Strong nonconforming high-order baseline; compare primal/dual errors rather than claiming generic high-order novelty.,arXiv:2604.19708
2026-04-17,Adaptive isogeometric large-deformation self-contact,"Adaptive NURBS contact enrichment improves accuracy, smoothness, and robustness over uniform refinement in 2D/3D.",Physical-contact benchmark should include active-region enrichment and pressure smoothness metrics.,10.1002/nme.70328
2026-05-20,Mixed Euler-Bernoulli beam obstacle methods,"Two stable mixed FEMs with dual multipliers, a priori/a posteriori estimates, PDAS and Uzawa tests.",Provides direct multiplier and estimator baseline; generic PDAS is not novel.,10.56947/csf4nz04
2026-05-26,Inverse Signorini obstacle problem,Uniqueness/recovery of an elastic Signorini obstacle from boundary displacement and normal-stress data.,Confirms current interest in contact pressure and obstacle geometry; motivates accurate multiplier reconstruction.,10.1007/s00205-026-02197-1
2026-06-01,hp-adaptive spectral obstacle/free-boundary method,"Glowinski convergence, GLL-point constraints, O(h/N) estimate, and adaptive dam-seepage computation.",Closest competitor; Bernstein paper must emphasize continuous pointwise feasibility and coefficient-cone approximation.,10.1016/j.cnsns.2026.110252
2026-06-24,Prox-based semismooth Newton method,Global discrete well-posedness and local superlinear convergence for a broad class of convex variational problems.,Use as solver theory; do not claim generic Newton convergence as the central contribution.,arXiv:2606.25948
2026-06,Adaptive Signorini FEM in supremum norm,Reliability and efficiency via upper/lower barriers constructed by rectifying the discrete solution.,Closest tool for a multidimensional pointwise a posteriori extension of the 1D Green-barrier theorem.,10.1016/j.apnum.2026.01.012
2026-06/07,High-contrast multiscale contact with primal-dual formulation,CEM-GMsFEM basis updates only at contact boundary; error estimates and finite-step active-set convergence.,Suggests local basis enrichment near contact as an alternative to pure h-refinement.,10.1007/s10915-026-03339-z
2026-01-15,Certified high-order finite-element range bounds,Precomputed piecewise-linear polynomial bounds are tighter than traditional Bernstein convex-hull bounds.,"Motivates a nested hierarchy: raw Bernstein, subdivided Bernstein, and tighter range-bound cones.",10.1016/j.jcp.2025.114444
2026,Two-pass IGA-BEM augmented-Lagrangian contact,High-order NURBS continuity suppresses contact-pressure oscillations and is validated against Hertz contact.,Hertzian contact is a strong future physical benchmark; pressure oscillation should be reported.,10.1016/j.cma.2026.119198
